second,bucket,sessions
1970/01/01 06:26:51,tcp-syn,5
1970/01/01 06:27:03,tcp-syn,5
1970/01/01 06:27:14,udp,2
1970/01/01 06:27:21,tcp-syn,1
1970/01/01 06:27:23,udp,6
1970/01/01 06:27:24,tcp-syn,2
1970/01/01 06:27:45,tcp-syn,1
1970/01/01 06:27:48,tcp-syn,1
1970/01/01 06:27:50,tcp-syn,2
1970/01/01 06:27:54,tcp-syn,2
1970/01/01 06:27:57,tcp-syn,1
1970/01/01 06:28:02,tcp-syn,1
1970/01/01 06:28:03,tcp-syn,1
1970/01/01 06:28:07,tcp-syn,1
1970/01/01 06:28:08,tcp-syn,2
1970/01/01 06:28:09,tcp-syn,2
1970/01/01 06:28:10,tcp-syn,1
1970/01/01 06:28:13,tcp-syn,1
1970/01/01 06:28:15,tcp-syn,1
1970/01/01 06:28:17,tcp-syn,1
1970/01/01 06:28:19,tcp-syn,1
1970/01/01 06:28:27,tcp-syn,1
1970/01/01 06:28:33,tcp-syn,1
1970/01/01 06:28:35,tcp-syn,1
1970/01/01 06:28:40,tcp-syn,2
1970/01/01 06:28:41,tcp-syn,1
1970/01/01 06:28:50,tcp-syn,1
1970/01/01 06:28:51,tcp-syn,5
1970/01/01 06:28:52,tcp-syn,1
1970/01/01 06:28:56,icmp,1
1970/01/01 06:28:59,tcp-syn,1
1970/01/01 06:29:04,tcp-syn,1
1970/01/01 06:29:08,tcp-syn,1
1970/01/01 06:29:09,tcp-syn,2
1970/01/01 06:29:10,tcp-syn,2
1970/01/01 06:29:26,tcp-syn,2
1970/01/01 06:29:30,tcp-syn,1
1970/01/01 06:29:34,tcp-syn,1
1970/01/01 06:29:36,tcp-syn,1
1970/01/01 06:29:39,tcp-syn,1
1970/01/01 06:29:53,tcp-syn,1
1970/01/01 06:29:57,tcp-syn,1
1970/01/01 06:30:01,udp,1
1970/01/01 06:30:02,tcp-syn,1
1970/01/01 06:30:10,tcp-syn,2
1970/01/01 06:30:12,tcp-syn,1
1970/01/01 06:30:14,tcp-syn,1
1970/01/01 06:30:17,tcp-syn,1
1970/01/01 06:30:18,tcp-syn,1
1970/01/01 06:30:23,tcp-syn,1
1970/01/01 06:30:36,tcp-syn,2
1970/01/01 06:30:40,tcp-syn,1
1970/01/01 06:30:46,tcp-syn,1
1970/01/01 06:30:52,tcp-syn,3
1970/01/01 06:30:56,tcp-syn,2
1970/01/01 06:30:58,tcp-syn,2
1970/01/01 06:30:59,tcp-syn,2
1970/01/01 06:31:14,udp,1
1970/01/01 06:31:16,tcp-syn,1
1970/01/01 06:31:17,tcp-syn,1
1970/01/01 06:31:18,tcp-syn,1
1970/01/01 06:31:26,tcp-syn,2
1970/01/01 06:31:27,tcp-syn,2
1970/01/01 06:31:29,tcp-syn,1
1970/01/01 06:31:30,tcp-syn,2
1970/01/01 06:31:38,udp,2
1970/01/01 06:31:45,tcp-syn,1
1970/01/01 06:31:48,tcp-syn,1
1970/01/01 06:31:51,udp,1
1970/01/01 06:31:52,tcp-syn,1
1970/01/01 06:31:53,tcp-syn,1
1970/01/01 06:31:53,udp,1
1970/01/01 06:31:55,tcp-syn,1
1970/01/01 06:32:03,tcp-syn,1
1970/01/01 06:32:04,tcp-syn,2
1970/01/01 06:32:07,udp,1
1970/01/01 06:32:08,udp,4
1970/01/01 06:32:11,tcp-syn,2
1970/01/01 06:32:18,tcp-syn,1
1970/01/01 06:32:19,tcp-syn,1
1970/01/01 06:32:26,tcp-syn,2
1970/01/01 06:32:28,tcp-syn,2
1970/01/01 06:32:33,tcp-syn,2
1970/01/01 06:32:38,tcp-syn,1
1970/01/01 06:32:43,icmp,2
1970/01/01 06:32:44,tcp-syn,1
1970/01/01 06:32:49,tcp-syn,2
1970/01/01 06:33:00,tcp-syn,1
1970/01/01 06:33:02,tcp-syn,2
1970/01/01 06:33:03,tcp-syn,1
1970/01/01 06:33:13,tcp-syn,3
1970/01/01 06:33:19,tcp-syn,2
1970/01/01 06:33:22,tcp-syn,1
1970/01/01 06:33:24,tcp-syn,1
1970/01/01 06:33:25,tcp-syn,1
1970/01/01 06:33:32,tcp-syn,1
1970/01/01 06:33:49,tcp-syn,1
1970/01/01 06:33:57,tcp-syn,2
1970/01/01 06:34:00,tcp-syn,2
1970/01/01 06:34:06,tcp-syn,2
1970/01/01 06:34:07,tcp-syn,2
1970/01/01 06:34:08,tcp-syn,2
1970/01/01 06:34:22,tcp-syn,2
1970/01/01 06:34:33,tcp-syn,1
1970/01/01 06:34:37,tcp-syn,1
1970/01/01 06:34:38,tcp-syn,3
1970/01/01 06:34:40,tcp-syn,1
1970/01/01 06:34:44,tcp-syn,1
1970/01/01 06:34:46,tcp-syn,1
1970/01/01 06:34:47,tcp-syn,1
1970/01/01 06:34:49,tcp-syn,1
1970/01/01 06:34:54,udp,1
1970/01/01 06:34:56,tcp-syn,2
1970/01/01 06:34:57,tcp-syn,1
1970/01/01 06:35:05,tcp-syn,1
1970/01/01 06:35:07,tcp-syn,1
1970/01/01 06:35:08,tcp-syn,2
1970/01/01 06:35:10,tcp-syn,1
1970/01/01 06:35:14,tcp-syn,1
1970/01/01 06:35:16,tcp-syn,1
1970/01/01 06:35:17,udp,2
1970/01/01 06:35:20,tcp-syn,2
1970/01/01 06:35:25,tcp-syn,2
1970/01/01 06:35:33,tcp-syn,2
1970/01/01 06:35:35,tcp-syn,1
1970/01/01 06:35:38,tcp-syn,1
1970/01/01 06:35:39,tcp-syn,1
1970/01/01 06:35:45,tcp-syn,1
1970/01/01 06:35:49,tcp-syn,1
1970/01/01 06:35:54,tcp-syn,2
1970/01/01 06:35:55,tcp-syn,1
1970/01/01 06:36:03,tcp-syn,1
1970/01/01 06:36:05,tcp-syn,1
1970/01/01 06:36:10,tcp-syn,1
1970/01/01 06:36:12,tcp-syn,1
1970/01/01 06:36:15,tcp-syn,1
1970/01/01 06:36:17,tcp-syn,1
1970/01/01 06:36:19,tcp-syn,1
1970/01/01 06:36:23,tcp-syn,1
1970/01/01 06:36:28,tcp-syn,1
